,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
42,Panama,"1,075",+86,27,+3,9,"1,039",43,249,6,Mar 09
43,Mexico,993,+145,20,+4,35,938,1,8,0.2,Feb 27
44,Peru,950,+98,24,+6,53,873,49,29,0.7,Mar 05
45,Dominican Republic,901,+42,42,+3,4,855,,83,4,Feb 29
46,Singapore,879,+35,3,,228,648,19,150,0.5,Jan 22
47,Argentina,820,,23,+3,228,569,,18,0.5,Mar 02
48,Colombia,798,+96,14,+4,15,769,29,16,0.3,Mar 05
49,Croatia,790,+77,6,,67,717,27,192,1,Feb 24
50,Serbia,785,+44,16,+3,42,727,62,90,2,Mar 05
51,Slovenia,756,+26,11,,10,735,28,364,5,Mar 03
52,Estonia,715,+36,3,,20,692,10,539,2,Feb 26
53,Diamond Princess,712,,10,,603,99,15,,,Feb 04
54,Qatar,693,+59,1,,51,641,6,241,0.3,Feb 28
55,Hong Kong,683,+41,4,,118,561,5,91,0.5,Jan 22
56,Egypt,656,+47,41,+1,150,465,,6,0.4,Feb 13
57,Iraq,630,+83,46,+4,152,432,,16,1,Feb 21
58,UAE,611,+41,5,+2,61,545,2,62,0.5,Jan 28
59,New Zealand,589,+75,1,,63,525,2,122,0.2,Feb 27
60,Algeria,584,+73,35,+4,37,512,,13,0.8,Feb 24
61,Morocco,556,+77,33,+7,15,508,1,15,0.9,Mar 01
62,Ukraine,548,+73,13,+3,8,527,,13,0.3,Mar 02
63,Bahrain,515,+16,4,,295,216,2,303,2,Feb 23
64,Lithuania,491,+31,7,,7,477,5,180,3,Feb 27
65,Armenia,482,+58,3,,30,449,15,163,1,Feb 29
66,Hungary,447,+39,15,+2,34,398,6,46,2,Mar 03
67,Lebanon,446,+8,11,+1,35,400,3,65,2,Feb 20
68,Latvia,376,+29,,,1,375,3,199,,Mar 01
69,Andorra,370,+36,8,+2,10,352,10,"4,789",104,Mar 01
70,Bosnia and Herzegovina,368,+45,10,+4,17,341,1,112,3,Mar 04
71,Tunisia,362,+50,9,+1,3,350,10,31,0.8,Mar 01
72,Bulgaria,359,+13,8,,17,334,13,52,1,Mar 06
73,Slovakia,336,+22,,,7,329,1,62,,Mar 05
74,Costa Rica,330,+16,2,,4,324,7,65,0.4,Mar 04
75,Uruguay,320,+16,1,,25,294,9,92,0.3,Mar 12
76,Taiwan,306,+8,5,+2,39,262,,13,0.2,Jan 20
77,Kazakhstan,302,+18,1,,21,280,,16,0.05,Mar 12
78,Moldova,298,+35,2,,15,281,44,74,0.5,Mar 06
79,North Macedonia,285,+26,7,+1,12,266,1,137,3,Feb 25
80,Azerbaijan,273,+64,4,,26,243,23,27,0.4,Feb 27
81,Jordan,268,+9,5,+2,26,237,3,26,0.5,Mar 01
82,Kuwait,266,+11,,,72,194,13,62,,Feb 23
83,Burkina Faso,246,+24,12,,31,203,,12,0.6,Mar 08
84,San Marino,230,+6,25,+3,13,192,16,"6,778",737,Feb 26
85,Cyprus,230,+16,7,+1,22,201,3,190,6,Mar 08
86,Réunion,224,+41,,,1,223,,250,,Mar 10
87,Albania,223,+11,11,+1,44,168,7,77,4,Mar 07
88,Vietnam,204,+10,,,55,149,3,2,,Jan 22
89,Oman,179,+12,,,29,150,3,35,,Feb 23
90,Afghanistan,170,+50,4,,2,164,,4,0.1,Feb 23
91,Cuba,170,+31,4,+1,4,162,2,15,0.4,Mar 10
92,Ivory Coast,168,+3,1,,6,161,,6,0.04,Mar 10
93,Faeroe Islands,168,+9,,,70,98,1,"3,438",,Mar 03
94,Senegal,162,+20,,,27,135,,10,,Mar 01
95,Malta,156,+5,,,2,154,4,353,,Mar 06
96,Ghana,152,,5,,2,145,1,5,0.2,Mar 11
97,Belarus,152,+58,,,32,120,2,16,,Feb 27
98,Uzbekistan,149,+5,2,,7,140,8,4,0.06,Mar 14
99,Channel Islands,141,+33,2,,,139,,811,12,Mar 08
100,Honduras,139,+29,7,+4,3,129,4,14,0.7,Mar 10
101,Cameroon,139,,6,,5,128,,5,0.2,Mar 05
102,Venezuela,135,+16,3,,39,93,6,5,0.1,Mar 12
103,Nigeria,131,+20,2,+1,8,121,,0.6,0.01,Feb 27
104,Mauritius,128,+21,3,,,125,1,101,2,Mar 17
105,Brunei,127,+1,1,,38,88,3,290,2,Mar 08
106,Sri Lanka,122,+5,2,+1,15,105,5,6,0.09,Jan 26
107,Palestine,117,+8,1,,18,98,,23,0.2,Mar 04
108,Cambodia,107,+4,,,21,86,1,6,,Jan 26
109,Guadeloupe,106,,4,,17,85,10,265,10,Mar 12
110,Georgia,103,+12,,,20,83,6,26,,Feb 25
111,Bolivia,97,+16,4,+3,,93,3,8,0.3,Mar 09
112,Kyrgyzstan,94,+10,,,3,91,,14,,Mar 17
113,Martinique,93,,1,,,92,12,248,3,Mar 04
114,Montenegro,91,+6,1,,,90,1,145,2,Mar 16
115,Trinidad and Tobago,83,+5,3,,1,79,,59,2,Mar 11
116,Mayotte,82,+19,,,10,72,3,301,,Mar 13
117,DRC,81,,8,,2,71,,0.9,0.09,Mar 09
118,Rwanda,70,,,,,70,,5,,Mar 13
119,Gibraltar,69,+4,,,34,35,,"2,048",,Mar 02
120,Paraguay,64,+5,3,,1,60,3,9,0.4,Mar 06
121,Liechtenstein,62,+6,,,,62,,"1,626",,Mar 02
122,Kenya,50,+8,1,,1,48,2,0.9,0.02,Mar 12
123,Aruba,50,,,,1,49,,468,,Mar 12
124,Bangladesh,49,+1,5,,19,25,1,0.3,0.03,Mar 07
125,Monaco,49,+3,1,,1,47,,"1,249",25,Feb 27
126,Isle of Man,49,+7,,,,49,,576,,Mar 18
127,French Guiana,43,,,,6,37,,144,,Mar 06
128,Madagascar,43,+4,,,,43,,2,,Mar 19
129,Macao,38,+1,,,10,28,,59,,Jan 21
130,Guatemala,36,+2,1,,10,25,1,2,0.06,Mar 12
131,Jamaica,36,+4,1,,2,33,,12,0.3,Mar 09
132,French Polynesia,36,+6,,,,36,2,128,,Mar 10
133,Zambia,35,+6,,,,35,,2,,Mar 17
134,Barbados,33,,,,,33,,115,,Mar 16
135,Uganda,33,,,,,33,,0.7,,Mar 20
136,Togo,30,+5,1,,1,28,,4,0.1,Mar 05
137,El Salvador,30,+6,,,,30,5,5,,Mar 18
138,Niger,27,+9,3,+2,,24,,1,0.1,Mar 18
139,Bermuda,27,+5,,,2,25,,434,,Mar 17
140,Mali,25,+7,2,+1,,23,,1,0.10,Mar 24
141,Ethiopia,23,+2,,,4,19,1,0.2,,Mar 12
142,Guinea,22,+6,,,,22,,2,,Mar 12
143,Congo,19,,,,,19,,3,,Mar 14
144,Tanzania,19,+5,,,1,18,,0.3,,Mar 15
145,Djibouti,18,,,,,18,,18,,Mar 17
146,Maldives,17,,,,13,4,,31,,Mar 06
147,Saint Martin,15,+4,1,+1,2,12,,388,26,Feb 29
148,Eritrea,15,+3,,,,15,,4,,Mar 20
149,Haiti,15,,,,1,14,,1,,Mar 19
150,New Caledonia,15,,,,,15,,53,,Mar 17
151,Bahamas,14,,,,1,13,,36,,Mar 14
152,Myanmar,14,+4,,,,14,,0.3,,Mar 22
153,Cayman Islands,12,,1,,,11,,183,15,Mar 12
154,Dominica,12,+1,,,,12,,167,,Mar 21
155,Equatorial Guinea,12,,,,,12,,9,,Mar 13
156,Mongolia,12,,,,2,10,,4,,Mar 09
157,Curaçao,11,+3,1,,2,8,,67,6,Mar 12
158,Namibia,11,,,,2,9,,4,,Mar 13
159,Syria,10,+1,2,+1,,8,,0.6,0.1,Mar 21
160,Greenland,10,,,,2,8,,176,,Mar 15
161,Grenada,9,,,,,9,,80,,Mar 21
162,Saint Lucia,9,,,,1,8,,49,,Mar 12
163,Eswatini,9,,,,,9,,8,,Mar 13
164,Guyana,8,,1,,,7,,10,1,Mar 11
165,Guinea-Bissau,8,+6,,,,8,,4,,Mar 24
166,Laos,8,,,,,8,,1,,Mar 23
167,Libya,8,,,,,8,,1,,Mar 23
168,Mozambique,8,,,,,8,,0.3,,Mar 21
169,Seychelles,8,,,,,8,,81,,Mar 13
170,Suriname,8,,,,,8,,14,,Mar 12
171,Angola,7,,2,,1,4,,0.2,0.06,Mar 19
172,Gabon,7,,1,,,6,,3,0.4,Mar 12
173,Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19
174,Antigua and Barbuda,7,,,,,7,,71,,Mar 12
175,Saint Kitts and Nevis,7,+5,,,,7,,132,,Mar 24
176,Sudan,6,,2,+1,,4,,0.1,0.05,Mar 12
177,Cabo Verde,6,,1,,,5,,11,2,Mar 19
178,Mauritania,6,+1,1,+1,2,3,,1,0.2,Mar 12
179,Benin,6,,,,,6,,0.5,,Mar 15
180,Vatican City,6,,,,,6,,"7,491",,Mar 05
181,St. Barth,6,+1,,,1,5,,607,,Feb 29
182,Sint Maarten,6,,,,,6,,140,,Mar 17
183,Nepal,5,,,,1,4,,0.2,,Jan 23
184,Chad,5,+2,,,,5,,0.3,,Mar 18
185,Fiji,5,,,,,5,,6,,Mar 18
186,Montserrat,5,,,,,5,,"1,002",,Mar 17
187,Turks and Caicos,5,+1,,,,5,,129,,Mar 22
188,Gambia,4,,1,,,3,,2,0.4,Mar 16
189,Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
190,Bhutan,4,,,,,4,,5,,Mar 05
191,Belize,3,+1,,,,3,,8,,Mar 22
192,Botswana,3,+3,,,,3,,1,,Mar 29
193,CAR,3,,,,,3,,0.6,,Mar 14
194,Liberia,3,,,,,3,,0.6,,Mar 15
195,Somalia,3,,,,,3,,0.2,,Mar 15
196,MS Zaandam,2,,,,,2,,,,Mar 26
197,Anguilla,2,,,,,2,,133,,Mar 25
198,British Virgin Islands,2,,,,,2,,66,,Mar 24
199,Papua New Guinea,1,,,,,1,,0.1,,Mar 19
200,St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
201,Timor-Leste,1,,,,,1,,0.8,,Mar 20
202,Total:,"784,738","+61,348","37,773","+3,708","165,387","581,578","29,492",100.7,4.8,
